"sample","ahrr","epismoke","joehanes","epitob","smoking_raw","smoking","cohort"
"GSM1225409",0.43559,0.442135,0.588536666666667,0.597948333333333,1,"former","GSE50660"
"GSM1225410",0.5596,0.5108775,0.640327777777778,0.653368333333333,1,"former","GSE50660"
"GSM1225411",0.66501,0.5191375,0.64187,0.652176666666667,1,"former","GSE50660"
"GSM1225412",0.83384,0.669795,0.729872222222222,0.7414925,1,"former","GSE50660"
"GSM1225413",0.5766,0.52258,0.635347777777778,0.658309166666667,1,"former","GSE50660"
"GSM1225414",0.5902,0.5091175,0.607151111111111,0.6370175,1,"former","GSE50660"
"GSM1225415",0.8533,0.67317,0.758825555555556,0.774091666666667,0,"never","GSE50660"
"GSM1225416",0.74572,0.5707625,0.668031111111111,0.682115833333333,1,"former","GSE50660"
"GSM1225417",0.66581,0.5190225,0.652296666666667,0.664900833333333,1,"former","GSE50660"
"GSM1225418",0.58755,0.5114125,0.652614444444444,0.675309166666667,1,"former","GSE50660"
"GSM1225419",0.84655,0.62497,0.725204444444445,0.723794166666667,0,"never","GSE50660"
"GSM1225420",0.8428,0.63245,0.721541111111111,0.723069166666667,1,"former","GSE50660"
"GSM1225421",0.65476,0.5613375,0.668061111111111,0.674928333333333,1,"former","GSE50660"
"GSM1225422",0.66492,0.555265,0.6728,0.6972325,1,"former","GSE50660"
"GSM1225423",0.84192,0.6079325,0.702658888888889,0.6798075,0,"never","GSE50660"
"GSM1225424",0.63745,0.54357,0.638312222222222,0.644135833333333,1,"former","GSE50660"
"GSM1225425",0.66718,0.5601725,0.669003333333333,0.6853,1,"former","GSE50660"
"GSM1225426",0.71498,0.5459475,0.669438888888889,0.659391666666667,1,"former","GSE50660"
"GSM1225427",0.84351,0.6606825,0.747353333333333,0.749950833333333,0,"never","GSE50660"
"GSM1225428",0.81649,0.6510575,0.74786,0.726865833333333,0,"never","GSE50660"
"GSM1225429",0.49956,0.473515,0.628362222222222,0.649206666666667,1,"former","GSE50660"
"GSM1225430",0.75096,0.5699075,0.669726666666667,0.665875833333333,1,"former","GSE50660"
"GSM1225431",0.57107,0.5305125,0.646051111111111,0.6698975,1,"former","GSE50660"
"GSM1225432",0.6301,0.507385,0.636176666666667,0.622468333333333,1,"former","GSE50660"
"GSM1225433",0.60298,0.50996,0.648055555555556,0.67045,1,"former","GSE50660"
"GSM1225434",0.81358,0.6085775,0.694715555555556,0.700923333333333,0,"never","GSE50660"
"GSM1225435",0.66894,0.57321,0.687096666666667,0.6945525,1,"former","GSE50660"
"GSM1225436",0.82299,0.650605,0.753156666666667,0.753684166666667,0,"never","GSE50660"
"GSM1225437",0.59885,0.47123,0.595715555555556,0.591870833333333,1,"former","GSE50660"
"GSM1225438",0.84535,0.631155,0.724534444444445,0.700635833333333,1,"former","GSE50660"
"GSM1225439",0.5169,0.47302,0.614927777777778,0.630465,1,"former","GSE50660"
"GSM1225440",0.5924,0.51873,0.63704,0.653409166666667,1,"former","GSE50660"
"GSM1225441",0.8125,0.6144425,0.703013333333333,0.7090875,1,"former","GSE50660"
"GSM1225442",0.55531,0.5180525,0.645846666666667,0.6523825,1,"former","GSE50660"
"GSM1225443",0.61273,0.4757675,0.628335555555556,0.649301666666667,1,"former","GSE50660"
"GSM1225444",0.56396,0.5096975,0.643463333333333,0.653798333333333,1,"former","GSE50660"
"GSM1225445",0.86355,0.6573375,0.760956666666667,0.756731666666667,0,"never","GSE50660"
"GSM1225446",0.80363,0.6301725,0.737773333333333,0.736815,0,"never","GSE50660"
"GSM1225447",0.62011,0.531315,0.643278888888889,0.652305,1,"former","GSE50660"
"GSM1225448",0.85555,0.6444175,0.719597777777778,0.721591666666667,1,"former","GSE50660"
"GSM1225449",0.43397,0.41813,0.58378,0.575505833333333,1,"former","GSE50660"
"GSM1225450",0.74797,0.5893025,0.69105,0.708538333333333,1,"former","GSE50660"
"GSM1225451",0.84512,0.630745,0.732764444444445,0.723949166666667,0,"never","GSE50660"
